userName,score,at,content
Ajat Sudrajat,1,2023-05-27 12:48:14,mohon penjelasannya dong sayamasuk aplikasi KTP digital ko email saya g valid padahal udah bener emilnya
Yosua Wijaya,2,2023-05-27 07:19:44,Sama saja harus datang ke dukcapil gak hemat waktu kalau sibuk
Novita Khasanah,1,2023-05-27 03:27:19,Tips plis dong kak cara mengatasi lupa pin/sandi gimana soalnya punyaku gk bisa dibuka😭
Rika Fitria,1,2023-05-27 03:26:49,apk jlk
Akatsuki Maftukhan,2,2023-05-27 02:11:14,"Aplikasi lelet banget, sering bug buka dokumen.. Rendah banget IT Negara Pemerintahan Indonesia"
Adji Winarko,3,2023-05-26 23:59:47,bagus
Ahmad Adadisini,1,2023-05-26 17:59:32,"Gak bisa daftar selalu coba lagi,, kesalahan koneksi terus,sampe ganti provider ttp aja kesalahan koneksi,,apk aneehhh..."
Ukhti Rhaya,5,2023-05-26 17:53:01,Ajib....🦈🤙🐊
felix Ofel,5,2023-05-26 16:42:28,Sangat baik
Trie Sutrisno,5,2023-05-26 16:14:13,Mudah Pelayanan nya Cepat dan tanggap dan tepat.
adrianus laoli,5,2023-05-26 14:02:51,👍
dede jalaludin,1,2023-05-26 13:59:52,Harus ke dukcapil sama saja bohong
Yazha Islah,1,2023-05-26 13:44:17,"Menurut saya merepotkan. Bukannya memudahkan malah merepotkan, untuk daftar saja harus dapat kode dari pihak terkait. Katanya memudahkan,,, buktinya merepotkan... 🫣"
ADM 444,5,2023-05-26 12:40:50,"Pengalaman KTP JADI LEBIH INSTAN, Mantap sekarang jadi gausah repot² bawa ktp takutnya ilang malah susah ngurusnya lagi... mantap aplikasinya keren..🙏"
Haryadi Sumirat,1,2023-05-26 12:39:15,"Jujur ini apk konyol, pelawak, semua data sudah sama tapi invalid, bikin apk yang bener jangan cari duit dari bohong"
Sukiran,3,2023-05-26 12:28:02,Aplikasi ga jelas
Wawan Setiyawan,5,2023-05-26 11:58:20,BLH nanya kalo lupa kata sandi gimana bukanya
Rupuzzz Boy,2,2023-05-26 11:52:15,Scen Kode QR code y dapat dari mana emal gak ada terus gimana
ENDANG LESTARI,1,2023-05-26 08:46:35,"Kenapa di file dokumen,yang terlihat hanya KTP DIGITAL saja? Dan untuk dokumen yang lainnya selalu sedang di integerasikan terus. Waktu sosialisai petugas DUKCAPIL mengatakan kita siap untuk DIGITALISASI,lalu kenapa aplikasinya seperti ini?."
danny roy,5,2023-05-26 08:16:09,Terus berkarya utk pelayanan publik.aplikasi keren..mantap👍👍
Holigan Bdg,1,2023-05-26 07:47:03,Poor apk 🤭 lucunya negeri ini
Mbliyut Chanel,1,2023-05-26 07:38:10,Update teroooooooooossssss
Mukhlis Hasibuan,5,2023-05-26 07:05:18,Mohon lah di perbaiki setiap mau di buka selalu lambat proses nya lagian jaringan kuat.
Soe Hendrie,1,2023-05-26 06:47:52,Aplikasi taik katanya dari dinas kependudukan dan pencatatan sipil Pas mau pindah kode QR katanya malah ini TOKEN IVALID saya coba berulang ulang malah sama tetap jawabanya kayak gitu Buat aplikasi gk bertanggung jawab taik2
G. Oktavian Sonata,1,2023-05-26 06:33:25,"Pake beginian, ngurus ini-itu tetap pakai fotokopi KTP. Beginian gak bisa difotokopi. Pemerintah...pemerintah... 😅"
Juliantoro Sardi Marto,5,2023-05-26 06:26:45,"Saya coba daftar e-ktp saya namun saat scan QR Code gak bisa krn daftarnya hrs dihadapan petugas didukcapil, klo sy tggal di parung panjang petugas disdukcapilnya dicibinong, cara ini krg effisien kenapa tdk otomatis terdaftar dan dapat QR Codenya, saran dari sy saat pemegang e-ktp melakukan pendaftaran diaplikasi ini dikolom isi no ktp secara system melacak ke server induk disdukcapil kalau no ektp tsb terdaftar dan valid mk pendaftaran bisa dilanjutkan sampai selesai secara online."
SARDJONO SUROPAWIRO,5,2023-05-26 04:24:22,Alhamdulillah bagus
MOMO Tube,1,2023-05-26 04:19:27,"Fitur NFC lah, buat apa eKTP masih pake nik, tinggal scan kan selesai"
Muslieh Robby,2,2023-05-26 04:09:08,Percuma pakai ini ga bisa bikin tabungan di bank apa lagi bank BNI sama bank BCA harus pakai KTP fisik soalnya di dlm kepada chips nya
ily andhi,1,2023-05-26 03:42:23,"Katanya Aplikasi Identitas Kependudukan Digital KEMENDAGRI adalah aplikasi yang memudahkan penduduk dalam pelayanan dokumen administrasi kependudukan dan pencatatan sipil. Tapi daftarnya tetap harus ke dukcapil dulu, trus mudahnya di mana? Masa kalah sama bank. Mo bikin rek baru aja ga perlu ke kantor cabang"
Asep Nasrullah,1,2023-05-26 03:32:18,Kok koneksi/jaringan bermasalah
riski nur jamali,1,2023-05-26 03:25:35,"Kalo belum siap digitalisasi jangan dipaksakan, masyarakat jadi bingung kalo aplikasi bermasalah dan tidak diberi opsi lain"
Rasada,1,2023-05-26 02:53:37,"Tolonglah diperbarui fiturnya agar ktp bisa dicetak secara mandiri, karena kalau masih seperti ini tetap membuat masyarakat kesulitan karena masih perlu mencetak e-ktp fisik"
sunardi adi,5,2023-05-26 02:23:34,sangat simpel dan membantu
Raden Mulyanto,5,2023-05-26 02:20:20,Mantul sudah dibantu oleh petugas DUKCAPIL 👍👍👍👍🙏
Marully Azzam Azzam,5,2023-05-26 01:01:57,Sngt membantu dan mempermudah
Muhammad Rivai,4,2023-05-25 21:55:33,Identitas kependudukan
Shaf Ikhwan,1,2023-05-25 21:36:38,"Apaan ini ?? Pin selalu salah & di blokir sementara.. padahal pin yang saya masukkan sudah benar.. buktinya kemarin bisa terbuka dengan pin yang sama, kenapa sekarang malah pin salah ???? pin sudah saya catat di buku saat buat ktp digital & di verifikasi oleh pegawai discapil... Bagi dinas terkait tolong di jawab pertanyaan saya..."
Nanda,1,2023-05-25 18:55:19,"Tolong dong untuk ligalisir dan surat kuat gk usah banyak rangkap fotokopi di desa diminta, di kecamatan diminta apalagi disini susah karena harus menganut format kecamatan padahal format kecamatan tidak bisa dipakai di notaris dan pertanahan di dukcapil kota diminta fotocopy alasanya arsip dari 4 yg diligalisir yg didapatkan hanya 3"
Hendra karangjati,1,2023-05-25 14:57:28,Sudah download tpii tidak bisa menginstal
Innaka Apealla,3,2023-05-25 14:05:32,"Mau bikin akun aja harus ke kecamatan minta brancode. Ngapain juga dikasih menu hapus akun, terus fungsinya buat apa?"
YUSMANRIANTO,5,2023-05-25 09:11:12,Good
Sang AyahNafi,1,2023-05-25 08:52:08,Kagak efektif banget..tetep aja harus ke kantor dukcapil setempat dan ber antri-antri ria untuk minte kode QR ke petugas yg bersangkutan (bila ada) agar bisa mengakses apk ini..hadeehhh..
Yogi Erwanda,4,2023-05-25 08:21:21,Ini yang di scan itu barcode apa?
Azka Arfhan channel (KOPASTALA),1,2023-05-25 07:52:50,Ternyata aplikasi SAMPAH!!👎👎👎
didien tea,1,2023-05-25 07:47:42,"jelek gak bisa di buka, kesalahan jaringan,pake wifi tau"
Jujur masa depan,1,2023-05-25 07:46:00,"Mau klik TTD digital, malah gak bisa aja, terjadi kesalahan terus :v"
heri yanto,3,2023-05-25 05:55:40,Dokumen lainnya kenapa integrasikan terus gak selesi2 min...??
Rahmad Ardian,1,2023-05-25 05:44:56,Gak jelas
JXCODE Studio,1,2023-05-25 04:19:14,Aplikasi tidak berguna
Ery Ekklesia,5,2023-05-25 03:58:02,Tingkatkan!
radi grb,1,2023-05-25 03:49:06,Ribet harus scan barcode ke lokasi
Adi Wahono,5,2023-05-25 03:48:25,Buka pinnya
Januar Dinata,5,2023-05-25 03:35:38,Sudah terinstal dan berfungsi. Semoga semakin baik dan aman data2 nya.
Jeri Amanda putra,5,2023-05-25 03:23:13,Aplikasinya bagus
Azizah Vivo,5,2023-05-25 03:22:04,Aplikasinya Mantap Poll
Ratika Febrianti,5,2023-05-25 03:19:16,Aplikasinya Bagus 👍
Iwan Kurniawan,2,2023-05-25 02:53:22,"Klo belum siap semua jgan di terbitkan, untuk keprluan apa"" Masih pakai ktp fisik.."
Suhendra Priatna,1,2023-05-25 02:17:43,Aplikasi gak guna mau cek kependudukan harus foto Terus masukan QR Gak jelas
Eko Yustiandi,1,2023-05-25 02:11:35,"Kenapa harus ada kode QR verifikasi oleh petugas dukcapil, IT nya payah. Kalah dengan bank cukup verifikasi dengan wajah, pendaftaran tidak dipersulit."
Febrione Hoan,3,2023-05-25 01:35:57,"Awalnya data BPJS,NPWP dll terintegrasikan di Dokumen. Setelah update hilang"
Wahyu Sumargo,1,2023-05-25 01:24:17,aplikasi ga berguna sama sekali. yg penting anggaran cair dah gitu aja.
Farel Arkan Wiradanu,4,2023-05-25 01:21:45,"Tolong ditambahin dokumen lain seperti akta kelahiran, ijazah, dll seperti itu"
Putri 10,5,2023-05-25 00:54:35,terjadi kesalahan koneksi
Sutisna Sutisna,5,2023-05-24 18:40:54,Lebih simple pasti nya
Ilham Nugraha,1,2023-05-24 16:55:08,Aplikasi apa ga bisa di buka...alasan koneksi...cari IT yg banyak jangan yg bego
Maulana Albantani,1,2023-05-24 16:52:27,Aduh gimana mau beri reting aplikasi nya aj blm bisa d buka.
dinoback 25,3,2023-05-24 15:51:59,pilihan logout tidak ada. gimana klo mau ganti hp ya?
Thopan Sazali,1,2023-05-24 15:36:42,"Masih ribet, kedukcapil sia sia daftar gagal mulu. Gak bisa apa daftar online saja. Kapan negeri jni gak ribet sih urusan beginian"
Aan NW,1,2023-05-24 15:34:38,"Wajib 1 orang 1 HP, bila ganti HP kita wajib pencatatan ulang ke Dukcapil, karena data kita jiga hilang. Kita instal ulang aja juga tidak bisa sign in lagi. Ribet banget..."
T A Y O,2,2023-05-24 15:22:35,"Habis update kok malah tidak bisa di buka, pin salah terus. aneh sekali"
Satrio Nurtajudin,1,2023-05-24 13:56:48,Apakah kementrian tidak sanggup membayar/memilih pegawai IT yg mumpuni ????
imaniar pajiri,3,2023-05-24 13:02:52,"Tdk bisa download gambar ktp atau kk nya, hrus scan."
ALAM NUSANTARA,3,2023-05-24 13:02:12,"Mohon maaf sebelumnya apakah sudah terjamin databes di apk ini aman dari serangan BLACK HAT karna ancaman yg paling fatal. Karna dari segi nomor telfon aja masih bisa bocor oleh oknum yg gak bertanggung jawab, tolong hal ini di prioritaskan"
heribertusmarianus diwa,5,2023-05-24 12:49:47,Sangat bagus
